epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,11474.1,0.42042,0.38514,0.80203,0.99283,0.9906,0.99436,0.92758,0.37148,0.33417,0.8572,0.000385073,0.000385073,0.000385073
68,11640.6,0.42066,0.41331,0.78737,0.99247,0.9909,0.99466,0.91908,0.38516,0.32897,0.85352,0.000374074,0.000374074,0.000374074
69,11816.8,0.44796,0.39556,0.79883,0.99594,0.98554,0.99434,0.92692,0.36238,0.32488,0.85287,0.000363075,0.000363075,0.000363075
70,12041.4,0.42799,0.38737,0.7943,0.99296,0.99005,0.99466,0.93556,0.34292,0.31906,0.85048,0.000352076,0.000352076,0.000352076
71,12234.8,0.43206,0.38506,0.79088,0.99345,0.98921,0.99436,0.93048,0.36955,0.34117,0.85221,0.000341077,0.000341077,0.000341077
72,12419.7,0.42022,0.38116,0.80913,0.99808,0.98512,0.99495,0.92856,0.35867,0.32516,0.85041,0.000330078,0.000330078,0.000330078
73,12596.8,0.43963,0.38227,0.80232,0.99449,0.98874,0.99466,0.92731,0.35797,0.32925,0.85157,0.000319079,0.000319079,0.000319079
74,12734.3,0.4275,0.38561,0.79995,0.99325,0.99056,0.99436,0.91036,0.39828,0.33827,0.85748,0.00030808,0.00030808,0.00030808
75,12871.9,0.4452,0.38668,0.80587,0.99792,0.98454,0.99436,0.92097,0.39135,0.33569,0.85825,0.000297081,0.000297081,0.000297081
76,13011.6,0.42919,0.38091,0.80626,0.99416,0.98883,0.99409,0.93143,0.36459,0.32735,0.85165,0.000286083,0.000286083,0.000286083
77,13149.3,0.42863,0.37644,0.79567,0.99551,0.98778,0.99466,0.92346,0.38351,0.33957,0.85115,0.000275084,0.000275084,0.000275084
78,13287.2,0.42796,0.37445,0.80005,0.99075,0.99345,0.99498,0.93802,0.34333,0.31484,0.85075,0.000264085,0.000264085,0.000264085
79,13425.1,0.40866,0.36879,0.7888,0.99364,0.99054,0.99498,0.94235,0.33894,0.31384,0.84947,0.000253086,0.000253086,0.000253086
80,13564.4,0.39709,0.36351,0.79615,0.99501,0.99059,0.99466,0.93816,0.34455,0.31883,0.85174,0.000242087,0.000242087,0.000242087
81,13703.2,0.40837,0.36515,0.80137,0.9913,0.99619,0.99498,0.9401,0.34214,0.31205,0.84899,0.000231088,0.000231088,0.000231088
82,13841.3,0.39294,0.36562,0.79844,0.99109,0.99154,0.99463,0.93985,0.33556,0.31211,0.84711,0.000220089,0.000220089,0.000220089
83,13979.5,0.40804,0.36149,0.7819,0.99254,0.98878,0.99463,0.91477,0.3989,0.33305,0.84888,0.00020909,0.00020909,0.00020909
84,14117.7,0.4077,0.35546,0.78848,0.99305,0.98774,0.99463,0.93419,0.3397,0.31923,0.84823,0.000198091,0.000198091,0.000198091
85,14255.2,0.39784,0.35885,0.79754,0.99149,0.98894,0.99463,0.94095,0.32371,0.31025,0.84753,0.000187092,0.000187092,0.000187092
86,14392.2,0.39093,0.35569,0.79648,0.99114,0.99008,0.99495,0.93643,0.34607,0.31735,0.84822,0.000176094,0.000176094,0.000176094
87,14521.9,0.38348,0.35842,0.79269,0.9871,0.9979,0.99495,0.93691,0.3473,0.32038,0.84669,0.000165095,0.000165095,0.000165095
88,14652.1,0.3685,0.34683,0.7919,0.99489,0.99103,0.99466,0.94685,0.31809,0.30992,0.84598,0.000154096,0.000154096,0.000154096
89,14781.6,0.37576,0.34999,0.78306,0.99434,0.99093,0.99466,0.93668,0.31995,0.307,0.84583,0.000143097,0.000143097,0.000143097
90,14910.7,0.38618,0.3586,0.79734,0.994,0.99048,0.99466,0.94442,0.30954,0.30406,0.84693,0.000132098,0.000132098,0.000132098
91,15041.9,0.36817,0.342,0.80124,0.99656,0.98524,0.99463,0.94435,0.32044,0.30576,0.84546,0.000121099,0.000121099,0.000121099
92,15172.2,0.37751,0.34743,0.79657,0.99151,0.99076,0.99463,0.94793,0.30805,0.30568,0.84515,0.0001101,0.0001101,0.0001101
93,15300.7,0.37006,0.34143,0.78478,0.99133,0.99068,0.99434,0.9454,0.31728,0.30823,0.84581,9.91012e-05,9.91012e-05,9.91012e-05
94,15429.5,0.36768,0.33694,0.79562,0.99628,0.98485,0.99434,0.94586,0.32164,0.30297,0.84457,8.81023e-05,8.81023e-05,8.81023e-05
95,15559.7,0.37977,0.34944,0.79659,0.99329,0.99099,0.99436,0.94579,0.31575,0.30445,0.84492,7.71034e-05,7.71034e-05,7.71034e-05
96,15695,0.36572,0.33413,0.79608,0.99076,0.99087,0.99463,0.94845,0.31359,0.30114,0.8435,6.61045e-05,6.61045e-05,6.61045e-05
97,15824.2,0.36755,0.33678,0.80156,0.99084,0.98995,0.99463,0.94678,0.31062,0.29895,0.84412,5.51056e-05,5.51056e-05,5.51056e-05
98,15953.6,0.37213,0.34356,0.79641,0.99048,0.99095,0.99463,0.94042,0.32177,0.30486,0.84377,4.41067e-05,4.41067e-05,4.41067e-05
99,16083.1,0.35065,0.32785,0.81319,0.99059,0.99088,0.99463,0.94632,0.31026,0.29819,0.84438,3.31078e-05,3.31078e-05,3.31078e-05
100,16211.6,0.35998,0.3416,0.79022,0.99054,0.99103,0.99463,0.94607,0.30692,0.29735,0.84441,2.21089e-05,2.21089e-05,2.21089e-05
